548,63,949,63,949,110,548,110
300,170,675,176,674,226,299,221
979,180,1183,180,1183,224,979,224
300,264,667,264,667,314,300,314
982,276,1106,276,1106,318,982,318
297,363,644,363,644,412,297,412
982,370,1110,370,1110,410,982,410
300,458,698,462,698,512,299,508
982,466,1031,466,1031,506,982,506
300,559,657,569,655,618,299,608
980,570,1187,578,1185,626,978,618
300,671,862,678,862,727,299,720
977,679,1155,679,1155,721,977,721
977,829,1263,829,1263,881,977,881
540,1084,798,1116,792,1167,534,1135
1162,1092,1415,1092,1415,1141,1162,1141
481,1157,670,1180,665,1221,476,1198
519,1201,607,1214,603,1242,515,1229
572,1252,681,1267,678,1289,569,1275
838,1304,904,1253,919,1273,853,1324
539,1274,721,1299,718,1322,536,1297
1054,1354,1310,1357,1310,1406,1054,1403
539,1361,691,1384,687,1407,536,1384
495,1405,836,1395,837,1445,497,1454
450,1444,524,1449,522,1490,448,1485
