2072,548,2396,548,2396,604,2072,604
2040,652,2356,652,2356,756,2040,756
2044,756,2356,756,2356,820,2044,820
2040,824,2352,824,2352,880,2040,880
1059,875,1383,845,1389,906,1064,935
144,944,692,944,692,1456,144,1456
971,1098,1525,1037,1531,1095,977,1155
845,1182,1665,1099,1682,1259,862,1343
1854,1166,2399,1184,2391,1425,1846,1407
1014,1338,1530,1283,1545,1434,1030,1489
1843,1508,2391,1503,2393,1745,1845,1750
1336,1518,1677,1485,1682,1531,1341,1564
1344,1570,1599,1547,1603,1593,1348,1616
916,1565,1231,1533,1240,1623,926,1655
1345,1865,1705,1825,1716,1923,1355,1963
968,1908,1074,1897,1079,1941,972,1952
972,1954,1210,1931,1215,1975,976,1998
1932,2412,2480,2412,2480,2504,1932,2504
