image_link,group_id,entity_name,entity_value,extracted_text
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,"NATURE PROP@S' DESODORISER LE LINGE. QUI PERMETIENT LE NETTOYAGE & SEC DES TACHES RECALITRANTES SUR TOUTES IES SURFACES (MOQUETTE TAPIS, PARQUET...).ELLE EST AUST EFRICACE P @INGREDIENT : BENTONITE 100%) DOSAGE CONSEELLE : SELON USAGE. @ 5000 g STOCKAGE : DENG ON EMPRIAGE FORMS, A FABIL OR IN OR PROCOUNTIONS : TENER BARS BE PORDE DES ENTANTS INGREDIENT MENAGER ANTISION LOT: PNSON202021:003 80103 7585 ** PROP: LABORATORE PROPOS'NATURE MULTI-USAGE SOMEARIES TERRE DE 100% NATUREL DE ARGLLE 100% PURE ET NATUREILE, LA TEREE SOMMIERES PRESENTE DES PROPRIETES ABSORBANTES"
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,MCIOUS/ CONVENTION WITH ASYDU LIKE V DESIGNED IN CALAC BELLE Y COOLLEY COPY CSLOP TELPRESS 1 CUP DAY GEPRAGTES LEBENSMITTELECHT DESIGN GST LZENZIERTE UND GESCHUTZTE DESIGNS
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"COMPOSITION 50 MG 25 mg SERVING SIZE: 1 TABLET (0.709 G) | EACH SER KURKI (PIERORHIZE KURTOA)RHIZONE EXTRAC 25 MG 25 MG KASANI (CICHORIUM IMYBUS) SEED EXTRACT 25 MG PUNANAVA (BGERHAVA DIFFUSA) ROOT EXTRACT - % RCA* BHUI AMLA (PHYLANTHUS AMARUS) WP EXTRAC 25 MG AMLA (PHYLANTHUS EMBLICA) FRUIT EXTRAC VITAMIN E 100 10 mg 5 mg NUTRIENTS LICORICE (GLYCHRINIA BLABRA) ROOT EXTRACT - 5% PIPER NIGRUM TRUIT EXTRACT - 95% PIPERINE INGREDIENT: NUTRITIONAL INFORMATION (P/SIERING (APPROX, VALU QTY./ SERVING %RDA* ENERGY 0.13 3.04 KCAL CARBONYDRATE 0.2 G 0.51G PROTEIN 0.04 G (SUGARS) 0.07 FAT 0.09 G QTY. / SERVING 200 MG *** RDA NOT ESTABLISHED BY ICMR %RDA VALUES ESTABLISHED AS PER ICMR 2010 FOR S : : : : : : : : : 100 MG *PHOSPHOCOMPLEX SILYBIN (SILLYBUM MAR DANDETION (TARAXACUM OFFICINALE) LEAF EXTRACT -"
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,"THIS PRODUCT IS YOU ARE PREGNANT, RURSING, BRING ANY (RM), ANTI-COLKING AGENT [INS 557, BLAZING AG THANK RETURNS RECIATE AREED (AND R.), DECEMBER ARE $$$ **** APPROPRIATE OVERGES OF VIAMINATED IN COMDENSATE LOSS *** *************************************************** SERVICE SIZE: 1 TABLET (0.709 G) | EACH SERVING RECOMMENDED USAGE 1 JABIT PER DAY OR AS SEGGESTED BY PUNAWMAVA (BGERHAYA D/FUSA) ROOT EDHD LICORICE /GRYCYPHIZA GLOBRA/FOTEXTRAC BHUI AMLA (PHYLANTHUS AMARUS) WP EXTRAC KUTKI (PILPORTIA KUTOA) RHIZONE EXTRAC L INFORMATION PER SER CONTAINS PERMITTED SYNTHERIC FOOD COLOURS (INS IT), NS AMLA (PRYLANTHUS AMBICIA) FRUIT EXTACT KASANI (CICHARIUM ENDIVAL SEED EXTRACT - 1% DANDELIN (TAFAXACUM OFFICINALE) LEAF EXTRACT *PHISPHOCOPLEX""SLYBIN (STYDEN MARIANUM) COMPOSITION A MEDICAL CONDITION WARNING: CONSULT YOUR PAYSICAN BEFORE CARBOHYDRATE INGREDIENT PIPER MGRUM FRUIT EXTRACT - 95% PUPERINE QTY./SARVING VITAMIN E NUTRIENTS PROTAIN ENERGY (SUGARS) # 0.00 3.04 KCAL 556 0.51 QTY./SERVING PERFORATED"
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,HORBEACH HIGH STRENGTH CAPSULES HUSK PSYLLIUM 1400WC PLANTAGO OVATA 365 VEGAN PLANT SEEDS FOOD SUPPLEMENT
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,HORBAZACHI FOOD HIGH STRENGTH SUPPLEMENT 365 YEGAN CAPSULES HORBEACH SUITABLE FOR VEGANS & VEGETARTARS HUSK PSYLLIUM PER SERVING NATURALY-SOURCED PSYLIIUM 1400WC HIGH STRENGTH 1400MG PLANTAGO OVATA PLANT SEEDS
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"HORBEACHI HUSK DIRECTIONS: FOR ADULTS, TAKE TWO (2) VEGAN CAPSULES DROXYPROPYLMETHYLCELLULOSE), ANTI-CAKEING NESIUM SALTS OF FATTY ACIDS, SILICON DIOXIDE MAY CONTAIN SESAME SEEDS & MUSTARD. FOR ALLERGENS, SEE THE INGREDIENTS IN BOLD. PLANTAGO OVATA THIS PRODUCT WITHOUT ADEQUATE FLUID MAY CAUSE THE POS NOTICE: TAKE THIS PRODUCT WITH 220ML OF FLUIDS. TAXING 1400ME PLANT SEEDS SIMIITY OF CHOKING. DO NOT USE THIS PRODUCT IT YOU HAVE DAILY, PREFERABLY WITH A MEAL. DO NOT EXCEED STATED D DITECULTY SWALLOWING. IF YOU EXPERIENCE CHEST PAIN ITING OR DIFFICULTY IN SWALLOWING OR BREATHING AFTER T THIS PRODUCT, SEEK IMMEDIATE MEDICAL ATTENTION. DO TAKE BEFORE SLEEPING. FIBRE PRODUCTS CAN AFFECT THE SORPTION OF MANY MEDIACATIONS. DO NOT TAKE THIS PRODUCT FOOD WITHIN 1.5 HOURS OF TAXING MEDICATION. NUTRITION INFORMATION SWEETENER, PRESERVATIVES. 365 YEGAN SUPPLEMENT FREE FROM: ARTIFICIAL COLOUR, ARTIFICIAL FLAVOUR, ART HU16790 C SUITABLE FOR VEGETARIANS & VEGANS HORB&ACH HIGH STRENGTH 1400MG TYPICALLY PER DAILY DOSE PSYLIIUM HUSK POWDER PSYLLIUM INGREDIENTS: PSYLIUM HUSK POWDER, CAPSULE"
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,VEGAN HORBACKN 1400MG PLANT SEEDS DAIRY FREE FOOD 365 YEGAN FREE FROM SUPPLEMENT PRESERVATIVES WHEAT FREE HORBAZACH HIGH STRENGTH SOY HUSK PSYLLIUM FREE PLANTAGO OVATA
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,100% HORB&ACH PLANTAGO OVATA DISCOUNT FOR A FREE OR GOOD FOR A 1400WC PLANT SEEDS FOOD 365 YESAN HIGHEST SUPPLEMENT QUALITY HORB&ACH HORBZACHI 2 HIGH STRENGTH HUSK PSYLLIUM (RECORD FOR RECEIPT FOR AN OFFER AND RECEIPT FOR AN OFF
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEWLOOK. HUSK HUSK TAXVO. SAME TRUSTED QUALITY. PLANTAGO OVATA 1400MG FOOD PLANT SEEDS POSTMENT 365 VS.COM 365 YEGAN FOOD OLD SUPPLEMENT NEW HORB&ACH HORBAACNIA HIGH STRENGTH PACKAGING MAY VARY HORBARCH PSYLLIUM HIGH STRENGTH PSYLLIUM
