1626,94,1755,15,1783,62,1654,141
76,213,390,15,445,103,131,301
169,260,394,121,425,171,200,310
2214,455,2424,317,2458,368,2248,506
841,452,1086,317,1137,408,891,543
1240,424,1528,424,1528,492,1240,492
863,552,1069,428,1100,480,894,604
2028,478,2317,484,2315,555,2026,549
1144,500,1624,500,1624,560,1144,560
2016,552,2348,552,2348,628,2016,628
664,656,952,656,952,720,664,720
1634,794,1765,700,1808,761,1677,854
568,732,1044,732,1044,800,568,800
1670,867,1825,754,1860,802,1704,915
763,1218,1081,1024,1164,1160,846,1354
1156,1232,1336,1103,1383,1167,1202,1297
1633,1313,1912,1118,1995,1237,1716,1432
256,1168,744,1168,744,1232,256,1232
1206,1328,1414,1173,1446,1216,1238,1371
1233,1366,1449,1233,1506,1325,1290,1458
310,1256,683,1244,685,1313,312,1324
1562,1545,1938,1265,1988,1332,1613,1612
2038,1628,2228,1488,2254,1523,2064,1663
2072,1649,2244,1524,2270,1560,2098,1685
1709,1906,1949,1693,2006,1757,1766,1970
873,1873,1073,1747,1124,1828,924,1954
1717,1992,2006,1775,2054,1839,1765,2056
108,1826,397,1832,395,1899,106,1893
1798,2043,2021,1878,2059,1929,1837,2094
160,1904,348,1904,348,1968,160,1968
1845,2157,2008,2032,2029,2060,1866,2185
1878,2202,2069,2058,2091,2086,1899,2230
1937,2233,2133,2082,2155,2111,1959,2262
1962,2346,2265,2117,2292,2153,1989,2382
1972,2281,2151,2144,2173,2172,1994,2309
93,2348,384,2169,434,2249,143,2428
165,2406,388,2262,424,2316,200,2461
2117,2538,2421,2364,2470,2450,2167,2560
2301,2546,2421,2461,2452,2506,2332,2560
