495,525,602,542,596,581,489,564
849,562,1077,556,1078,594,850,600
516,578,584,592,580,611,512,598
871,590,1059,586,1060,622,872,626
523,731,572,743,567,763,518,751
695,824,1228,777,1236,869,703,916
834,923,1095,895,1098,928,837,956
734,979,1186,930,1190,962,738,1010
841,1011,1090,985,1092,1008,844,1034
750,1092,1152,1047,1156,1080,753,1125
1176,1117,1252,1108,1254,1127,1178,1136
1177,1134,1249,1126,1251,1140,1178,1148
1176,1149,1255,1140,1258,1158,1178,1168
1179,1166,1252,1156,1255,1174,1181,1184
654,1183,765,1171,767,1191,656,1203
660,1201,755,1189,758,1207,663,1220
660,1217,759,1206,761,1225,662,1236
676,1233,740,1224,742,1243,678,1252
518,1284,577,1313,568,1331,510,1301
886,1489,1029,1463,1035,1497,892,1522
