750,540,867,540,867,565,750,565
752,567,862,567,862,595,752,595
727,610,890,610,890,625,727,625
742,640,862,640,862,662,742,662
725,672,880,672,880,707,725,707
707,712,897,712,897,750,707,750
747,765,857,765,857,782,747,782
675,807,910,807,910,822,675,822
917,807,932,807,932,820,917,820
675,822,932,822,932,837,675,837
674,839,932,839,932,854,674,854
675,857,932,857,932,870,675,870
675,872,932,872,932,887,675,887
675,890,782,890,782,905,675,905
675,925,802,925,802,940,675,940
687,967,849,967,849,982,687,982
675,1005,902,1005,902,1015,675,1015
675,1015,815,1015,815,1025,675,1025
780,1070,827,1070,827,1087,780,1087
875,1122,932,1122,932,1142,875,1142
675,1137,750,1137,750,1150,675,1150
675,1152,785,1152,785,1160,675,1160
785,1160,815,1160,815,1167,785,1167
860,1167,915,1167,915,1175,860,1175
752,1170,772,1170,772,1177,752,1177
